rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
Matthew Scurfield,1948-02-02,1948-01-01T00:00:00+02:00,,{Actor|Matthew_Scurfield__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Matthew_Scurfield__1},['actor'],True,False,False,,,,
Mauricio Pesutic,1948-06-24,1948-01-01T00:00:00+02:00,,{Actor|Mauricio_Pesutic__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mauricio_Pesutic__1},['actor'],True,False,False,,,,
Meg Foster,1948-05-10,1948-01-01T00:00:00+02:00,,{Actor|Meg_Foster__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Meg_Foster__1},['actor'],True,False,False,,,,
Mercedes Ruehl,1948-02-28,1948-01-01T00:00:00+02:00,,{Actor|Mercedes_Ruehl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mercedes_Ruehl__1},['actor'],True,False,False,,,,
Nayabtigungu Congo Kaboré,1948-06-20,1948-01-01T00:00:00+02:00,,{Politician|Nayabtigungu_Congo_Kabor%C3%A9__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Nayabtigungu_Congo_Kabor%C3%A9__1},['politician'],False,True,True,,,,
Nick Johnston (politician),1948-01-05,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Nicolae Dabija (politician),1948-07-15,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Ninetto Davoli,1948-10-11,1948-01-01T00:00:00+02:00,,{Actor|Ninetto_Davoli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ninetto_Davoli__1},['actor'],True,False,False,,,,
Nyoman Rudana,1948-09-17,1948-01-01T00:00:00+02:00,,,,"['senator', 'politician']",False,True,True,,,,Senator
Hermogenes Ebdane,1948-12-30,1948-01-01T00:00:00+02:00,,{Police|Politician},{http://dbpedia.org/resource/Police|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Hidetoshi Nishijima (politician),1948-01-01T00:00:00+02:00,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Hilbrand Nawijn,1948-08-08,1948-01-01T00:00:00+02:00,,{Lawyer|Politician|Civil service},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Civil_service},['politician'],False,True,True,,,,
Hugues Quester,1948-08-05,1948-01-01T00:00:00+02:00,,{Actor|Hugues_Quester__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hugues_Quester__1},['actor'],True,False,False,,,,
Ichirou Mizuki,1948-01-07,1948-01-01T00:00:00+02:00,,{Lyricist|Actor|Singing|Voice acting|Composer},{http://dbpedia.org/resource/Lyricist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Composer},"['actor', 'sing']",True,False,False,,,,
Charles Taylor (Liberian politician),{1948-01-18|1948-01-28},1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Charlie Stone (politician),1948-01-12,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Chris Harris (Texas politician),{1948-02-19|1948-02-22},1948-01-01T00:00:00+02:00,,Lawyer,http://dbpedia.org/resource/Lawyer,['politician'],False,True,True,,,,
Christopher Biggins,1948-12-16,1948-01-01T00:00:00+02:00,,{Actor|Christopher_Biggins__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Christopher_Biggins__1},['actor'],True,False,False,,,,
Christopher Curry (actor),1948-10-22,1948-01-01T00:00:00+02:00,,,,['actor'],True,False,False,,,,
Chuck Cissel,1948-10-03,1948-01-01T00:00:00+02:00,,{Actor|Chief executive officer|Record producer|Writer|Choreography|Singing|Theatre director|Composer|Teacher|Artistic director},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chief_executive_officer|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Choreography|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Teacher|http://dbpedia.org/resource/Artistic_director},"['actor', 'sing']",True,False,False,,,,
Sam Freed,1948-01-01T00:00:00+02:00,1948-01-01T00:00:00+02:00,,{Actor|Voice acting|Sam_Freed__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Sam_Freed__1},['actor'],True,False,False,,,,
Sammie Winmill,1948-11-28,1948-01-01T00:00:00+02:00,,{Actor|Sammie_Winmill__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sammie_Winmill__1},['actor'],True,False,False,,,,
Sandra Dickinson,1948-10-20,1948-01-01T00:00:00+02:00,,{Actor|Sandra_Dickinson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sandra_Dickinson__1},['actor'],True,False,False,,,,
Sansei Shiomi,1948-01-12,1948-01-01T00:00:00+02:00,,{Actor|Sansei_Shiomi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sansei_Shiomi__1},['actor'],True,False,False,,,,
Saori Yuki,1948-11-13,1948-01-01T00:00:00+02:00,,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Saul Rubinek,1948-07-02,1948-01-01T00:00:00+02:00,,{Actor|Saul_Rubinek__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Saul_Rubinek__1},['actor'],True,False,False,,,,
Scott Reiniger,1948-09-05,1948-01-01T00:00:00+02:00,,{Actor|Scott_Reiniger__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Scott_Reiniger__1},['actor'],True,False,False,,,,
A. Rafiq,1948-03-05,1948-01-01T00:00:00+02:00,2013-01-19,{Actor|Musician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician},"['actor', 'musician']",True,False,False,,,,
A Martinez,1948-09-27,1948-01-01T00:00:00+02:00,,{Actor|Singing|A_Martinez__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/A_Martinez__1},"['actor', 'sing']",True,False,False,,,,
Aanjjan Srivastav,1948-06-02,1948-01-01T00:00:00+02:00,,{Actor|Aanjjan_Srivastav__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aanjjan_Srivastav__1},['actor'],True,False,False,,,,
Adelle Lutz,1948-11-13,1948-01-01T00:00:00+02:00,,{Actor|Model (profession)|Costume designer|Adelle_Lutz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Costume_designer|http://dbpedia.org/resource/Adelle_Lutz__1},['actor'],True,False,False,,,,
Carlos Álvarez (politician),1948-12-26,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Wilbur Fitzgerald,1948-09-15,1948-01-01T00:00:00+02:00,,{Actor|Wilbur_Fitzgerald__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wilbur_Fitzgerald__1},['actor'],True,False,False,,,,
William McCrea (politician),1948-08-06,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
William Powell (British politician),1948-08-03,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
William Steinberg (politician),1948-01-01T00:00:00+02:00,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,Mayor
Clyde Kusatsu,1948-09-13,1948-01-01T00:00:00+02:00,,{Actor|Clyde_Kusatsu__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Clyde_Kusatsu__1},['actor'],True,False,False,,,,
Craig Russell (Canadian actor),1948-01-10,1948-01-01T00:00:00+02:00,1990-10-30,{Actor|Drag queen|Craig_Russell_(Canadian_actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Drag_queen|http://dbpedia.org/resource/Craig_Russell_(Canadian_actor)__1},['actor'],True,False,False,AIDS,http://dbpedia.org/resource/HIV/AIDS,Disease,
Cristina Saralegui,1948-01-29,1948-01-01T00:00:00+02:00,,{List of talk show hosts|Actor|Journalist|Cristina_Saralegui__1},{http://dbpedia.org/resource/List_of_talk_show_hosts|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Cristina_Saralegui__1},['actor'],True,False,False,,,,
Dan Foster (politician),1948-01-31,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John Otto (politician),1948-01-01T00:00:00+02:00,1948-01-01T00:00:00+02:00,,Certified Public Accountant,http://dbpedia.org/resource/Certified_Public_Accountant,['politician'],False,True,True,,,,
John Quigley (politician),1948-12-01,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John Thune (Norwegian politician),1948-02-02,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John Waters (actor),1948-12-08,1948-01-01T00:00:00+02:00,,,,['actor'],True,False,False,,,,
John Williams (New South Wales state politician),1948-08-18,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John de Lancie,1948-03-20,1948-01-01T00:00:00+02:00,,{Actor|John_de_Lancie__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_de_Lancie__1},['actor'],True,False,False,,,,
Jonathan Hyde,1948-05-21,1948-01-01T00:00:00+02:00,,{Actor|Jonathan_Hyde__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jonathan_Hyde__1},['actor'],True,False,False,,,,
Jorge Ortiz de Pinedo,1948-03-26,1948-01-01T00:00:00+02:00,,{Actor|Film director|Screenwriter|Comedian|Jorge_Ortiz_de_Pinedo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Jorge_Ortiz_de_Pinedo__1},['actor'],True,False,False,,,,
Joseph Gibbons (Florida politician),1948-09-23,1948-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Katya Wyeth,1948-01-01,1948-01-01T00:00:00+02:00,,{Actor|Katya_Wyeth__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Katya_Wyeth__1},['actor'],True,False,False,,,,
Ken James (Australian actor),1948-11-16,1948-01-01T00:00:00+02:00,,,,['actor'],True,False,False,,,,
Kenji Sawada,1948-06-25,1948-01-01T00:00:00+02:00,,{Lyricist|Actor|Singing|Composer},{http://dbpedia.org/resource/Lyricist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Composer},"['actor', 'sing']",True,False,False,,,,
Kevin Prince (politician),1948-02-02,1948-01-01T00:00:00+02:00,,,,"['politician', 'prince']",False,True,True,,,,
Khayyam Sarhadi,1948-01-01T00:00:00+02:00,1948-01-01T00:00:00+02:00,2011-02-03,{Actor|Radio personality|Khayyam_Sarhadi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Radio_personality|http://dbpedia.org/resource/Khayyam_Sarhadi__1},['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Évelyne Buyle,1948-06-03,1948-01-01T00:00:00+02:00,,{Actor|%C3%89velyne_Buyle__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/%C3%89velyne_Buyle__1},['actor'],True,False,False,,,,
Irina Muravyova,1949-02-08,1949-01-01T00:00:00+02:00,,{Actor|Irina_Muravyova__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Irina_Muravyova__1},['actor'],True,False,False,,,,
Ismail Tara,1949-11-16,1949-01-01T00:00:00+02:00,,{Actor|Comedian|Ismail_Tara__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Ismail_Tara__1},['actor'],True,False,False,,,,
István Jakab,1949-09-17,1949-01-01T00:00:00+02:00,,{Politician|Agronomy|Istv%C3%A1n_Jakab__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Agronomy|http://dbpedia.org/resource/Istv%C3%A1n_Jakab__1},['politician'],False,True,True,,,,
Jérôme Bignon (politician),1949-01-01,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Jack McGee (actor),1949-02-02,1949-01-01T00:00:00+02:00,,{Character actor|Jack_McGee_(actor)__1},{http://dbpedia.org/resource/Character_actor|http://dbpedia.org/resource/Jack_McGee_(actor)__1},['actor'],True,False,False,,,,
Jack Reed (politician),1949-11-12,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Jaime Lyn Bauer,1949-03-09,1949-01-01T00:00:00+02:00,,{Actor|Jaime_Lyn_Bauer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jaime_Lyn_Bauer__1},['actor'],True,False,False,,,,
Elizabeth Warren,1949-06-22,1949-01-01T00:00:00+02:00,,{Politician|Teacher|Academia},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Teacher|http://dbpedia.org/resource/Academia},['politician'],False,True,True,,,,
Eric Van Rompuy,1949-11-23,1949-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Erik Derycke (politician),1949-10-28,1949-01-01T00:00:00+02:00,,{Lawyer|Judge|Politician|Erik_Derycke_(politician)__1},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Judge|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Erik_Derycke_(politician)__1},['politician'],False,True,True,,,,
Erling Folkvord,1949-06-15,1949-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Ernest Lee Thomas,1949-03-26,1949-01-01T00:00:00+02:00,,{Actor|Ernest_Lee_Thomas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ernest_Lee_Thomas__1},['actor'],True,False,False,,,,
Ernie Sabella,1949-09-19,1949-01-01T00:00:00+02:00,,{Actor|Ernie_Sabella__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ernie_Sabella__1},['actor'],True,False,False,,,,
Terry Sullivan (Australian politician),1949-02-06,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Tetsuya Takeda,1949-04-11,1949-01-01T00:00:00+02:00,,{Actor|Singing|Composer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Composer},"['actor', 'sing']",True,False,False,,,,
Thérèse Liotard,1949-05-06,1949-01-01T00:00:00+02:00,,{Actor|Th%C3%A9r%C3%A8se_Liotard__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Th%C3%A9r%C3%A8se_Liotard__1},['actor'],True,False,False,,,,
Themsie Times,1949-09-22,1949-01-01T00:00:00+02:00,,{Actor|Themsie_Times__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Themsie_Times__1},['actor'],True,False,False,,,,
Thomas George (Australian politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Thomas M. Davis,1949-01-05,1949-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Tom Barton (politician),1949-08-11,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Tom Martin (Texas politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Tom Owen (actor),{1949-04-08|1949-07-08},1949-01-01T00:00:00+02:00,,Tom_Owen_(actor)__1,http://dbpedia.org/resource/Tom_Owen_(actor)__1,['actor'],True,False,False,,,,
Tom Pugh (Minnesota politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,Attorney at law,http://dbpedia.org/resource/Attorney_at_law,['politician'],False,True,True,,,,
Tom Sawyer (Maine politician),1949-03-17,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Luiz Fernando Guimarães,1949-11-10,1949-01-01T00:00:00+02:00,,{Actor|Luiz_Fernando_Guimar%C3%A3es__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Luiz_Fernando_Guimar%C3%A3es__1},['actor'],True,False,False,,,,
Luminița Gheorghiu,1949-09-01,1949-01-01T00:00:00+02:00,,{Celebrity|Actor|Lumini%C8%9Ba_Gheorghiu__1},{http://dbpedia.org/resource/Celebrity|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lumini%C8%9Ba_Gheorghiu__1},['actor'],True,False,False,,,,
Lynwood Drake,1949-10-10,1949-01-01T00:00:00+02:00,1992-11-08,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
Mac McDonald,1949-06-18,1949-01-01T00:00:00+02:00,,{Actor|Mac_McDonald__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mac_McDonald__1},['actor'],True,False,False,,,,
Madeline Smith,1949-08-02,1949-01-01T00:00:00+02:00,,{Actor|Madeline_Smith__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Madeline_Smith__1},['actor'],True,False,False,,,,
Gołda Tencer,1949-08-02,1949-01-01T00:00:00+02:00,,{Actor|Singing|Go%C5%82da_Tencer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Go%C5%82da_Tencer__1},"['actor', 'sing']",True,False,False,,,,
Gordon Wilson (Canadian politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Greg Salata,1949-07-21,1949-01-01T00:00:00+02:00,,{Actor|Greg_Salata__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Greg_Salata__1},['actor'],True,False,False,,,,
Han Jin-hee,1949-03-14,1949-01-01T00:00:00+02:00,,{Actor|Han_Jin-hee__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Han_Jin-hee__1},['actor'],True,False,False,,,,
Yeh Chu-lan,1949-02-13,1949-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Yoshito Yasuhara,{1949-01-01T00:00:00+02:00|1949-11-17},1949-01-01T00:00:00+02:00,,{Actor|Voice acting|Yoshito_Yasuhara__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Yoshito_Yasuhara__1},['actor'],True,False,False,,,,
Yusuf Halaçoğlu,1949-05-10,,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Garry Moore (South Dakota politician),1949-05-14,1949-01-01T00:00:00+02:00,,Sales,http://dbpedia.org/resource/Sales,['politician'],False,True,True,,,,
Gary Sherman (Wisconsin politician),1949-05-05,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Gates McFadden,1949-03-02,1949-01-01T00:00:00+02:00,,{Actor|Choreography|Gates_McFadden__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Choreography|http://dbpedia.org/resource/Gates_McFadden__1},['actor'],True,False,False,,,,
Geoff Morrell (actor),{1949-01-01T00:00:00+02:00|1958-02-19},{1949-01-01T00:00:00+02:00|1958-01-01T00:00:00+02:00},,Geoff_Morrell_(actor)__1,http://dbpedia.org/resource/Geoff_Morrell_(actor)__1,['actor'],True,False,False,,,,
Geoffrey Durham,1949-07-22,1949-01-01T00:00:00+02:00,,{Actor|Magic (illusion)|Geoffrey_Durham__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Magic_(illusion)|http://dbpedia.org/resource/Geoffrey_Durham__1},['actor'],True,False,False,,,,
Patrick Johnston (Canadian politician),1949-07-26,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Paul Schäfer (politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Paul Shaffer,1949-11-28,1949-01-01T00:00:00+02:00,,{Author|Actor|Musician|Comedian|Paul_Shaffer__1},{http://dbpedia.org/resource/Author|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Paul_Shaffer__1},"['actor', 'musician']",True,False,False,,,,
Pepper Jay,1949-05-12,1949-01-01T00:00:00+02:00,,{Actors_Entertainment|Actors_Reporter_online|Pepper_Jay__1},{http://dbpedia.org/resource/Actors_Entertainment|http://dbpedia.org/resource/Actors_Reporter_online|http://dbpedia.org/resource/Pepper_Jay__1},['actor'],True,False,False,,,,
Peter Crawford (Australian politician),1949-07-01,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Peter Kern,1949-02-13,1949-01-01T00:00:00+02:00,,{Actor|Film director|Screenwriter|Film producer|Peter_Kern__1|Peter_Kern__2|Peter_Kern__3|Peter_Kern__4},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Peter_Kern__1|http://dbpedia.org/resource/Peter_Kern__2|http://dbpedia.org/resource/Peter_Kern__3|http://dbpedia.org/resource/Peter_Kern__4},['actor'],True,False,False,,,,
Peter Millowitsch,1949-02-01,1949-01-01T00:00:00+02:00,,{Actor|Peter_Millowitsch__1|Peter_Millowitsch__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peter_Millowitsch__1|http://dbpedia.org/resource/Peter_Millowitsch__2},['actor'],True,False,False,,,,
Peter Murphy (politician),1949-07-15,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Denise Gordy,1949-11-11,1949-01-01T00:00:00+02:00,,{Actor|Denise_Gordy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Denise_Gordy__1},['actor'],True,False,False,,,,
Dennis Anderson (politician),1949-08-16,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Dennis Richardson (politician),1949-07-30,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Dhruba Bahadur Pradhan,1949-01-01,,,{Police officer|Politician},{http://dbpedia.org/resource/Police_officer|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Diane Sommerfield,1949-10-24,1949-01-01T00:00:00+02:00,2001-03-09,{Actor|Diane_Sommerfield__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Diane_Sommerfield__1},['actor'],True,False,False,,,,
Dick Israel,{1949-12-10|1959-12-10},{1949-01-01T00:00:00+02:00|1959-01-01T00:00:00+02:00},,{Actor|Dick_Israel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dick_Israel__1},['actor'],True,False,False,,,,
Doddanna,1949-11-15,1949-01-01T00:00:00+02:00,,{Actor|Doddanna__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Doddanna__1},['actor'],True,False,False,,,,
Donald Walker (politician),1949-03-04,1949-01-01T00:00:00+02:00,2009-09-28,,,['politician'],False,True,True,,,,
Douglas Barr,1949-05-01,1949-01-01T00:00:00+02:00,,{Actor|Douglas_Barr__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Douglas_Barr__1},['actor'],True,False,False,,,,
Rod Smith (politician),1949-11-15,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Roger Williams (U.S. politician),1949-09-13,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Ron Canada,1949-05-03,1949-01-01T00:00:00+02:00,,{Actor|Ron_Canada__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ron_Canada__1},['actor'],True,False,False,,,,
Ron Palillo,1949-04-02,1949-01-01T00:00:00+02:00,2012-08-14,{Actor|Ron_Palillo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ron_Palillo__1},['actor'],True,False,False,,,,
Ron Phillips (politician),1949-05-16,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Ronnie Johns (Louisiana politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Rumi Tama,1949-01-15,1949-01-01T00:00:00+02:00,,{Actor|Film director|Screenwriter|Rumi_Tama__1|Rumi_Tama__2|Rumi_Tama__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Rumi_Tama__1|http://dbpedia.org/resource/Rumi_Tama__2|http://dbpedia.org/resource/Rumi_Tama__3},['actor'],True,False,False,,,,
Ryan Cutrona,1949-07-29,1949-01-01T00:00:00+02:00,,{Actor|Ryan_Cutrona__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ryan_Cutrona__1},['actor'],True,False,False,,,,
Michael Ahern (Irish politician),1949-01-20,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Armitage (politician),1949-05-03,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Beck,1949-02-04,1949-01-01T00:00:00+02:00,,{Actor|Michael_Beck__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Beck__1},['actor'],True,False,False,,,,
Michael Cramer (politician),1949-06-16,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Hogan (Canadian actor),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,Michael_Hogan_(Canadian_actor)__1,http://dbpedia.org/resource/Michael_Hogan_(Canadian_actor)__1,['actor'],True,False,False,,,,
Michael Kennedy (Dublin politician),1949-02-01,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Murphy (New Jersey politician),1949-01-01T00:00:00+02:00,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael O'Brien (South Australian politician),1949-04-10,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Parker (politician),1949-10-31,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Michael Richardson (politician),1949-07-13,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Mick Murray (politician),1949-11-26,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Mike Evans (actor),1949-11-03,1949-01-01T00:00:00+02:00,2006-12-14,{Actor|Mike_Evans_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mike_Evans_(actor)__1},['actor'],True,False,False,,,,
Mike Moore (New Zealand politician),1949-01-28,1949-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Miodrag Krivokapić (actor),1949-04-22,1949-01-01T00:00:00+02:00,,,,['actor'],True,False,False,,,,
Tonino Accolla,{1949-04-06|1949-04-09},1949-01-01T00:00:00+02:00,2013-07-14,{Actor|Voice acting|Tonino_Accolla__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Tonino_Accolla__1},['actor'],True,False,False,,,,
Ubirajara Fidalgo,1949-06-22,1949-01-01T00:00:00+02:00,1986-07-03,{Actor|Ubirajara_Fidalgo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ubirajara_Fidalgo__1},['actor'],True,False,False,,,,
Urbanus,1949-06-07,1949-01-01T00:00:00+02:00,,{Actor|Singing|Urbanus__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Urbanus__1},"['actor', 'sing']",True,False,False,,,,
Sergio Denis,1949-03-16,1949-01-01T00:00:00+02:00,,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
